,SID,SName,Count,CV_Mean,CV_Best,CV_Worst,R2_Train,MAE_Train,RMSE_Train,R2_Test_All,MAE_Test_All,RMSE_Test_All,R2_Test_NFI6,MAE_Test_NFI6,RMSE_Test_NFI6,R2_Test_NFI7,MAE_Test_NFI7,RMSE_Test_NFI7,Par0,Par1,Par2,Par3
0,10,기타침엽수,"(200, 382)",0.0,0.0,0.0,0.0,0.47219364707481065,0.49645818703506966,0.0,0.4375512933858882,0.4612419843147562,0.0,0.416063808773204,0.4313071538090371,0.0,0.4488604958136167,0.47624199208492163,-188.35847183669267,-97.38257094304579,-76.38300341948658,-109.49160038821476
1,11,소나무,"(13328, 31294)",0.1262313301853149,0.12848402882192878,0.12402860162682439,0.1262007711997314,0.09326122540293012,0.11724326095795518,0.1139306499812911,0.09303276365140045,0.11736088412976026,0.09792597426286676,0.09486880846920386,0.12064284839276093,0.11714441258848562,0.09225058156698629,0.1159345014615392,-1.5652577490881037,0.2681445381520667,0.5456290959184481,-0.10116222022992027
2,12,잣나무,"(1513, 3323)",0.11933993966572072,0.12704421847881642,0.11156184119693657,0.11895538516411064,0.0974169081550988,0.12198314452741874,0.078047175781507,0.09213091801137266,0.11707307390243245,0.004897015877780908,0.09244153664698786,0.11986837162169557,0.10976564694028179,0.09198964266806574,0.1157793931287262,-2.7864178943805644,0.07906083681647555,0.9091192387687026,-0.14637786861176152
3,13,낙엽송,"(1677, 3895)",0.12821820352979524,0.13189269582558394,0.12585264472472235,0.1279345162508111,0.09540383465995501,0.11962227158149603,0.11788140743151754,0.0912218602481663,0.11550606860225723,0.08313028844274861,0.09530564754877828,0.12310944018499895,0.13165506222933332,0.08946269033405649,0.11207191824570663,-1.042240627832079,-0.38860706374612936,0.8225749155732912,-0.24368258518967634
4,14,리기다소나무,"(2378, 5302)",0.14773624203419033,0.15458174533166447,0.1416414010677528,0.1473291766303798,0.09310781976444724,0.11655002060413122,0.15777863416335625,0.0939400830421952,0.11649762552507908,0.1586975283903319,0.09290771691554348,0.11603298366443539,0.14182022101015423,0.09440367386888032,0.11670567415470251,-2.439542802245261,0.45203705317909654,0.6869703961208647,-0.1194479893407815
5,15,곰솔,"(2104, 5280)",0.16212434508553314,0.16822617082444435,0.15589947176786767,0.16150241638227958,0.09722121731468344,0.12137502781264574,0.124566599991901,0.09860166905247347,0.12338055723130747,0.08069370868494585,0.10101450116255078,0.12496062834548548,0.129041520723858,0.09764201991778365,0.12274646642551594,-2.6143315272167476,0.3618745520502802,0.7644881471144761,-0.11250728436796824
6,16,전나무,"(75, 201)",0.02069401097301222,0.04768699795800713,0.006792722630307169,0.0,0.10664157251670174,0.1327825503299291,0.0,0.10690633660692653,0.13252349392531218,0.0,0.10879865067976661,0.13590830875286455,0.0,0.09981015883377643,0.11897586580932434,1.5872667158983498,-0.7192345437513262,-0.06899111181887364,-0.029214187708082
7,17,편백나무,"(392, 971)",0.1688102564764536,0.17716653761515022,0.15322868414804103,0.16791948941217727,0.10623301938198747,0.1312806999952549,0.16373118702177902,0.10690796120914034,0.1311241264435519,0.11460978378851683,0.09664418462930817,0.13041381799093738,0.17331527334973562,0.111034634267011,0.13140863220102303,-3.8835873030164194,0.6379525701750126,0.8718247810150564,-0.07399822814459482
8,18,삼나무,"(198, 597)",0.09588833473398124,0.10666335274887306,0.08203459959944981,0.09352448310086647,0.09418949276355709,0.11628531258025535,0.1566516726496674,0.091352722399162,0.11761404385199623,0.04757792866000121,0.11484612499103766,0.13408367255966833,0.20000979823418386,0.08352158820187013,0.11158527680327246,-0.9401128066639354,0.1815859202571847,0.34453565134231157,-0.11348203278025161
9,19,가문비나무,"(0, 2)",,,,,,,,,,,,,,,,,,,
