SID,SName,Count,CV_Mean,CV_Best,CV_Worst,R2_Train,MAE_Train,RMSE_Train,R2_Test_All,MAE_Test_All,RMSE_Test_All,R2_Test_NFI6,MAE_Test_NFI6,RMSE_Test_NFI6,R2_Test_NFI7,MAE_Test_NFI7,RMSE_Test_NFI7,Par0,Par1,Par2,Par3,XGB_R2,XGB_MAE,XGB_RMSE,RF_R2,RF_MAE,RF_RMSE,,diff
10,기타침엽수,"(200, 382)",0.022616478,0.0382515,0.013464453,0.0172995,0.126199767,0.151628596,0,0.123218174,0.155338371,0,0.134281935,0.170451339,0.002319159,0.117395142,0.1467604,-1.085265983,0.361980532,-0.042445683,0.937651688,0.034150484,0.122101369,0.148424723,0.002068517,0.348638231,0.150869647,,0.011534006
11,소나무,"(13328, 31294)",0.120677632,0.123139398,0.117605576,0.120594678,0.093486622,0.117598144,0.12582482,0.093228155,0.116927242,0.107649104,0.094509354,0.118302531,0.126346675,0.09268254,0.116336622,-0.384779427,0.261744974,-0.030490717,0.47227214,0.229909527,0.087054321,0.110312539,0.221883239,0.29560938,0.110885917,,0.109231895
12,잣나무,"(1513, 3323)",0.127028424,0.134540565,0.11999577,0.126733146,0.095783653,0.120120038,0.079218639,0.101930153,0.12744383,0.10871378,0.103346547,0.12821159,0.064464782,0.101284528,0.127092329,-2.079912526,0.731950959,-0.075610119,1.170487698,0.258882846,0.087795883,0.109584601,0.222664997,0.297625042,0.112230322,,0.131854422
13,낙엽송,"(1677, 3895)",0.119302107,0.123749591,0.110484213,0.118622452,0.095525835,0.11987996,0.116061445,0.09476835,0.11942299,0.022417104,0.104348163,0.128693983,0.138826302,0.090634595,0.115192271,-1.297124686,0.524867129,-0.042112188,0.655266204,0.252692837,0.090365209,0.114440824,0.233780458,0.303330607,0.115879874,,0.13339073
14,리기다소나무,"(2378, 5302)",0.143280489,0.146818049,0.13795191,0.14308675,0.093942378,0.117114442,0.156346725,0.090658903,0.114859702,0.122481051,0.087171181,0.114140049,0.160247642,0.092225087,0.115181405,1.369567398,-0.154464527,0.000431981,-0.049837359,0.225187996,0.086294948,0.107511321,0.23565067,0.292896379,0.106782964,,0.081907507
15,곰솔,"(2104, 5280)",0.151107922,0.159689097,0.147707389,0.150832382,0.097630765,0.121833314,0.163646335,0.09852247,0.122532654,0.109857139,0.10390751,0.126956035,0.184785854,0.096373894,0.120722545,-0.192503507,0.234584504,-0.034646952,0.508803186,0.322683528,0.085484175,0.111005049,0.264659688,0.301994607,0.115662108,,0.171575606
16,전나무,"(75, 200)",0.022483269,0.04622783,0.011669322,0.011338044,0.104433825,0.130145597,0.025562281,0.107132396,0.127023257,,,,0.025562281,0.107132396,0.127023257,0.197966367,-0.159282527,0.017716764,0.502282119,0.242295925,0.102609371,0.125931374,0.207920229,0.331173513,0.128756331,,0.204602665
17,편백나무,"(392, 971)",0.183601677,0.188049705,0.180505899,0.181915908,0.103652821,0.129957403,0.172121276,0.105925778,0.131936979,0.026910588,0.109283106,0.136563851,0.216112049,0.10456905,0.130020511,-2.704400462,0.990742142,-0.103253283,1.335608146,0.301852474,0.087095221,0.113226741,0.26250667,0.298938472,0.116373595,,0.118250797
18,삼나무,"(198, 597)",0.099863028,0.11246624,0.083577511,0.097332243,0.093713833,0.1167764,0.108898824,0.095239599,0.114830063,0,0.09457684,0.112359897,0.141072579,0.095460519,0.115641727,0.106958875,0.147589513,-0.013583664,0.27647238,0.222112373,0.092940008,0.114334163,0.128738265,0.3153,0.121001821,,0.122249345
19,가문비나무,"(0, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,0
