,species,KS_D,KS_p,KS,Wasserstein,,JS,,mean_pred,mean_obs,median_obs,n_obs
0,10,0.638008105,,Strong,2.509170961,Weak,0.784719964,Strong,5.871723038,4.483246217,3.800000122,382
1,11,0.670511919,,Strong,2.420319519,Weak,0.811049509,Strong,6.420598376,7.935348883,7.80000025,31294
2,12,0.451694444,,Strong,1.629300037,Weak,0.75796321,Strong,6.417420844,7.42545916,7.20000023,3323
3,13,0.945392791,,Strong,8.321364051,Moderate,0.819231557,Strong,4.034403058,12.34739449,12.30000039,3895
4,14,0.768628385,,Strong,2.790316414,Weak,0.794813959,Strong,5.402153078,8.153112294,8.100000259,5302
5,15,0.593162967,,Strong,2.4084141,Weak,0.783709933,Strong,6.41478251,7.981913134,7.900000253,5280
6,16,0.37,,Moderate,1.988696823,Weak,0.758473866,Strong,5.077798911,5.903000189,5.050000162,200
7,17,0.58633711,,Strong,3.616378894,Moderate,0.812989487,Strong,9.775390625,6.404428629,6.000000192,971
8,18,0.567405736,,Strong,1.697120956,Weak,0.750049744,Strong,6.441051863,7.753601588,7.50000024,597
9,19,,,,,,,,,,,
10,20,0.702880038,,Strong,2.778495585,Weak,0.832554611,Strong,6.04997996,3.300000106,2.20000007,3
11,21,0.652789198,,Strong,1.995488332,Weak,0.809113156,Strong,6.626265228,4.670588385,4.250000136,34
12,30,0.517818091,,Strong,2.152992524,Weak,0.771091086,Strong,3.826266657,5.868249632,5.600000179,14384
13,31,0.738036939,,Strong,3.309267529,Moderate,0.808526582,Strong,4.930551775,7.96883989,7.900000253,4602
14,32,0.369158204,,Moderate,1.407625597,Weak,0.784538984,Strong,6.553171107,6.573215445,6.500000208,16935
15,33,0.869641361,,Strong,4.624013147,Moderate,0.816780597,Strong,3.266840136,7.879007334,7.80000025,13133
16,34,0.748486294,,Strong,3.081482565,Moderate,0.796619757,Strong,3.307016389,6.327735783,6.100000195,8426
17,35,0.480566474,,Strong,1.164343678,Weak,0.756236038,Strong,5.419486862,6.272467521,6.100000195,1224
18,36,0.365966192,,Moderate,1.318874866,Weak,0.745387608,Strong,6.264734726,6.259627003,6.100000195,1179
19,37,0.455610273,,Strong,1.59304097,Weak,0.753554263,Strong,5.789314462,6.114106779,6.100000195,319
20,38,0.658866009,,Strong,2.129830348,Weak,0.795956101,Strong,5.400701938,7.029894803,7.000000224,1328
21,39,0.411063585,,Strong,1.556695326,Weak,0.789749981,Strong,6.655470782,5.665018908,5.400000173,4005
22,40,0.504379899,,Strong,1.26782233,Weak,0.807212783,Strong,5.454337765,6.420193843,6.200000198,2169
23,41,0.545547641,,Strong,2.091751415,Weak,0.769564674,Strong,3.930423411,6.013135786,5.800000186,1652
24,42,0.418485806,,Strong,0.801013018,Weak,0.738995141,Strong,4.047177487,4.744827062,4.600000147,1531
25,43,0.49181539,,Strong,2.034677183,Weak,0.80404601,Strong,7.466674085,8.673739773,8.500000272,476
26,44,0.351006926,,Moderate,1.546978324,Weak,0.799826763,Strong,6.316736458,5.242774734,4.800000154,173
27,45,0.868729399,,Strong,6.079050857,Moderate,0.793792199,Strong,4.25338172,10.34109622,10.20000033,219
28,46,0.3498998,,Moderate,0.879900598,Weak,0.758792251,Strong,4.947086605,5.516954084,5.400000173,2495
29,47,0.466165414,,Strong,1.481364708,Weak,0.741859614,Strong,5.982289872,6.236591678,6.100000195,399
30,48,0.802644521,,Strong,3.498752119,Moderate,0.817776299,Strong,3.794700943,7.244918931,7.100000227,1476
31,49,0.672160346,,Strong,3.304841305,Moderate,0.786149832,Strong,4.275368811,7.574017137,7.300000234,3433
32,61,,,,,,,,,,,
33,62,,,,,,,,,,,
34,64,,,,,,,,,,,
35,65,,,,,,,,,,,
36,66,,,,,,,,,,,
37,67,,,,,,,,,,,
38,68,,,,,,,,,,,
,,,,,,,,,,,,
summary table,,,,,,,,,,,,
,Perfect,Weak,Moderate,Strong,Interpertation,,,,,,,
KS,0,0,5,26,Distribution shape is slightly mismatching,,,,,,,
Wasser,0,23,8,0,Predictions are within reasonable range,,,,,,,
JS,0,0,0,31,"Overall shows moderate similarity, but not quiet identifcal",,,,,,,
,,,,,,,,,,,,
what species are well predicted?,,,,,,,,,,,,
Best,"KS = Weak, W = Weak, JS = Strong",,,,,None,,,,,,
Moderate,"KS =Moderate, W= Weak ~ Moderate, JS = Strong",,,,,5,,,,,,
Worst,"KS = Strong, W = Weak~Moderate, JS=Strong",,,,,26,,,,,,
