SID,mean,median,std,q1,q3,IQR,cnt
10,4.483246217,3.800000122,2.74833265,2.600000083,5.375000172,2.775000089,382
11,7.935348883,7.80000025,2.811866647,6.000000192,9.70000031,3.700000118,31294
12,7.42545916,7.20000023,3.017525702,5.100000163,9.600000307,4.500000144,3323
13,12.34739449,12.30000039,3.985592635,9.70000031,14.90000048,5.200000166,3895
14,8.153112294,8.100000259,2.723940904,6.300000202,10.00000032,3.700000118,5302
15,7.981913134,7.900000253,3.179753841,5.700000182,10.00000032,4.300000138,5280
16,5.903000189,5.050000162,3.597289511,3.000000096,8.12500026,5.125000164,200
17,6.404428629,6.000000192,3.160979847,3.900000125,8.500000272,4.600000147,971
18,7.753601588,7.50000024,2.472063336,6.200000198,9.200000294,3.000000096,597
19,7.150000229,7.150000229,5.450000174,4.425000142,9.875000316,5.450000174,2
20,3.300000106,2.20000007,1.994993798,1.900000061,4.150000133,2.250000072,3
21,4.670588385,4.250000136,1.662303454,3.400000109,6.275000201,2.875000092,34
30,5.868249632,5.600000179,2.469457974,4.000000128,7.400000237,3.400000109,14384
31,7.96883989,7.900000253,2.749655023,6.000000192,9.800000314,3.800000122,4602
32,6.573215445,6.500000208,2.179899798,5.00000016,8.000000256,3.000000096,16935
33,7.879007334,7.80000025,2.651242375,6.000000192,9.70000031,3.700000118,13133
34,6.327735783,6.100000195,2.394933713,4.500000144,7.900000253,3.400000109,8426
35,6.272467521,6.100000195,2.19772285,4.70000015,7.600000243,2.900000093,1224
36,6.259627003,6.100000195,2.202704522,4.70000015,7.600000243,2.900000093,1179
37,6.114106779,6.100000195,2.410613054,4.350000139,7.600000243,3.250000104,319
38,7.029894803,7.000000224,2.180610681,5.500000176,8.400000269,2.900000093,1328
39,5.665018908,5.400000173,2.43312403,3.800000122,7.300000234,3.500000112,4005
40,6.420193843,6.200000198,2.319969264,4.800000154,7.900000253,3.100000099,2169
41,6.013135786,5.800000186,1.870622465,4.600000147,7.20000023,2.600000083,1652
42,4.744827062,4.600000147,1.542500591,3.700000118,5.700000182,2.000000064,1531
43,8.673739773,8.500000272,3.290546069,6.200000198,10.60000034,4.400000141,476
44,5.242774734,4.800000154,2.660917685,3.000000096,7.000000224,4.000000128,173
45,10.34109622,10.20000033,3.531844895,7.50000024,12.85000041,5.350000171,219
46,5.516954084,5.400000173,2.086929795,3.900000125,6.800000218,2.900000093,2495
47,6.236591678,6.100000195,2.109998799,4.70000015,7.700000246,3.000000096,399
48,7.244918931,7.100000227,2.431661143,5.500000176,8.900000285,3.400000109,1476
49,7.574017137,7.300000234,2.692155801,5.700000182,9.300000298,3.600000115,3433
61,6.2475002,5.800000186,2.853680829,4.100000131,7.80000025,3.700000118,160
62,6.425454751,6.200000198,2.575282463,4.400000141,7.900000253,3.500000112,55
64,4.150000133,3.900000125,1.587409393,2.925000094,5.225000167,2.300000074,38
65,4.766666819,4.900000157,1.119027391,4.125000132,5.825000186,1.700000054,6
66,2.85180732,2.600000083,1.454313236,1.800000058,3.250000104,1.450000046,83
67,4.684210676,4.100000131,2.494892369,3.75000012,4.550000146,0.800000026,19
68,5.175294283,4.900000157,1.664360441,4.000000128,6.500000208,2.50000008,85
,6.456,6.212,2.537,4.653,8.000,3.347,3366.333
"60, 77 (기타상록활엽수, 침활혼효림 없음.)",,,,,,,
