,mean,std,median,IQR
10,4.901089309,1.615728021,4.775390625,3.33984375
11,6.437307159,0.719283106,6.708984375,0.41015625
12,6.313681236,1.697347685,7.119140625,2.34375
13,6.263318716,0.757373703,6.298828125,0.41015625
14,6.426891387,0.604976625,6.474609375,0.52734375
15,6.166440774,0.815095002,6.298828125,0.41015625
16,6.316094547,1.18888687,6.181640625,1.40625
17,5.083605796,1.089654285,5.009765625,2.51953125
18,6.04940935,0.934032372,6.298828125,1.11328125
19,5.182296716,1.374998595,5.009765625,2.51953125
20,6.659799505,1.802203442,7.998046875,2.98828125
21,4.946508231,1.317012489,6.005859375,3.10546875
30,5.976007657,0.882126752,6.416015625,1.171875
31,6.622220169,1.819528018,7.822265625,2.8125
32,5.784674222,0.529916716,6.123046875,0.8203125
33,6.547187778,0.637611264,6.826171875,0.05859375
34,5.863808955,0.505647035,6.005859375,0.1171875
35,4.585996713,1.453808158,4.072265625,0.9375
36,4.257267647,1.376710005,4.775390625,2.98828125
37,3.937633741,1.163263472,2.900390625,1.875
38,4.737372014,0.807908386,5.009765625,0.9375
39,4.729498106,1.146924544,4.775390625,0.9375
40,3.7886606,1.234326409,3.310546875,0
41,5.991443529,0.355271259,6.181640625,0.17578125
43,5.420704812,0.921457844,6.005859375,1.34765625
44,3.309568231,0.8774571,2.900390625,0
45,5.403031134,0.883892977,6.005859375,1.23046875
46,3.829068996,1.249066219,2.900390625,1.875
47,4.051064996,1.297725934,2.900390625,1.875
48,4.277901875,1.377184605,4.775390625,3.10546875
49,6.470040428,1.766925813,7.822265625,3.75
60,5.724232709,0.697642467,6.005859375,0.234375
61,4.033291229,1.39132691,2.900390625,3.10546875
62,6.134352904,0.109498528,6.181640625,0.05859375
63,5.444567803,1.055000705,6.123046875,1.34765625
64,5.400318784,0.283236734,5.302734375,0
65,3.138144479,0.743491478,2.900390625,0
66,3.271335505,0.753423787,2.900390625,0
67,4.12041117,1.348196149,2.900390625,2.8125
68,4.95261324,0.387712881,4.775390625,0
77,11.20501033,1.309966591,11.51367188,0.46875
,5.360,1.031,5.444,1.345
78,5.934693878,0.388508934,6.005859375,0.1171875
81,6.412343234,1.824209372,6.298828125,1.46484375
82,6.75444649,1.777081915,6.298828125,0.5859375
83,6.578947368,1.687907127,6.005859375,0
91,6.436871508,0.140562478,6.474609375,0
93,6.829392142,2.497197777,6.298828125,1.46484375
94,9.766666667,2.451303508,11.51367188,5.21484375
95,7.470726916,2.282742048,6.298828125,0
