,SID,SName,Count,CV_Mean,CV_Best,CV_Worst,R2_Train,MAE_Train,RMSE_Train,R2_Test_All,MAE_Test_All,RMSE_Test_All,R2_Test_NFI6,MAE_Test_NFI6,RMSE_Test_NFI6,R2_Test_NFI7,MAE_Test_NFI7,RMSE_Test_NFI7,Par0,Par1,Par2,Par3
0,10,기타침엽수,"(200, 382)",0.014181763761296873,0.020054165717771077,0.010845584194863145,0.010352672568834542,0.12627597383324918,0.15189697759928478,0.04229420993277555,0.12114625390290479,0.15179437108654487,0,0.11455193188896326,0.14724325860917625,0.06714446402629193,0.12461694969971615,0.1541357278939816,1.2971819245025682,-0.41653736040768,0.0432449385290186,0.03248034805490626
1,11,소나무,"(13328, 31294)",0.12168206509737864,0.12401109483809547,0.11852926328581226,0.12166007239680243,0.09370844670558691,0.11775754022077642,0.11925930462110679,0.09114112174302635,0.11509064790118059,0.09737055612811485,0.09453784534488101,0.11869454521518367,0.12240739085113539,0.08969406755278272,0.11352058726342622,0.24791437726629487,-0.2254795988414197,0.027127171667739747,0.5752748867752872
2,12,잣나무,"(1513, 3323)",0.12005367760841235,0.12266878359132927,0.1186916046949319,0.11949625624339233,0.09680772967841247,0.1213932632074201,0.11742575684586642,0.09628474853219791,0.11988321798531251,0.11192917305681271,0.0946912376448707,0.1174141126656631,0.11817021296948738,0.0970095080020365,0.1209895453043115,1.7512832765086532,-0.6469591941435319,0.06771594007468304,-0.051338438075053006
3,13,낙엽송,"(1677, 3895)",0.11648899569935367,0.12615085529122994,0.10861989321811971,0.11542417571526509,0.09569271918227006,0.12006125025193573,0.1377467865196047,0.09337417370413761,0.11797222128334704,0.1395778292896519,0.0889098047524276,0.11106885010030988,0.13698199124726573,0.09529728648333578,0.12082449315738722,1.0695209000838468,-0.4718990515585114,0.039488264121281855,0.39281055026425404
4,14,리기다소나무,"(2378, 5302)",0.1460965233658826,0.15209965500093314,0.14086682997784916,0.14538166141880637,0.0934844998588862,0.11692815083516021,0.14114678534801184,0.09293620470045229,0.11550153900337079,0.11558866302749826,0.09433686053382498,0.11866191489010434,0.14545342587590282,0.0923072309488623,0.11405386283423104,-1.0521480522343811,0.06589118156219397,0.007976029562361826,0.9393795120820828
5,15,곰솔,"(2104, 5280)",0.15492567890044426,0.15990596240323351,0.14930208881924178,0.154649543308225,0.09777740127458298,0.12204962296017437,0.13736244023525168,0.09792956495791716,0.12091079379572472,0.13847233536921177,0.09369397143289494,0.11659500767678892,0.13337364811175334,0.09961417601900556,0.12258507312160354,-0.06458192989463636,-0.16698401822528539,0.02840816080219747,0.5801186284196879
6,16,전나무,"(75, 201)",0.027197276341111177,0.03893084244244405,0.012126539427555039,0.014282850798870816,0.10390385363741138,0.12951676073560908,0,0.10850322096017916,0.13635802631379496,0,0.10929142128059932,0.1376384310051199,0.05153517033964494,0.10554746975860349,0.1314454736006636,-1.5920949524111137,0.5356263198746128,-0.05427712837451694,1.0128000701155602
7,17,편백나무,"(392, 971)",0.18554680065579032,0.19057263297505678,0.17911729829574252,0.18462689946452027,0.10532139150197513,0.13078821048997497,0.14877285110250338,0.09303744381916094,0.12445021329935445,0,0.08593548153601545,0.11749324145303344,0.2014030765815925,0.0958928719536215,0.1271400944399022,2.1060127010138423,-0.832037031663404,0.09219054899384177,-0.17973108741623073
8,18,삼나무,"(198, 597)",0.09550696640038751,0.10913050360415177,0.08563067355022946,0.09332462345103831,0.09461827651197739,0.11717060443988733,0.1691119299869962,0.08913876861404753,0.11007310275855817,0.11628891271217123,0.10655731182202692,0.12404342541241167,0.19156849464690817,0.08333258754472105,0.10500409581779793,-0.022181280513035185,-0.16198116204120283,0.014879508102049162,0.6819912457646471
9,19,가문비나무,"(0, 2)",,,,,,,,,,,,,,,,,,,
10,20,비자나무,"(4, 3)",,,,,,,,,,,,,,,,,,,
11,21,은행나무,"(3, 34)",0.5093583059337377,0.6452501111592743,0.30484181105987607,0.4501159573948905,0.08066769365902031,0.09924396267885265,0,0.12288843386248342,0.1313518602467082,0,0.14488919990168897,0.14785338673579837,0,0.10088766782327785,0.1124544281533456,1.988373192837405,-0.9764747094329225,0.06540635326361463,0.4491448804775772
12,30,기타활엽수,"(6773, 14383)",0.041900462351062394,0.04422497173428319,0.04037146102943634,0.04179437853040335,0.10611220148462035,0.13092738190491462,0.04901301721951812,0.10839381654904115,0.1331500967373651,0.029916269849979527,0.11092175558306559,0.13573608458625885,0.05700690056132196,0.1072036811345526,0.1319150822082906,1.233947815184212,-0.45182201065470684,0.04010731486816177,0.21406655003391878
13,31,상수리나무,"(2037, 4602)",0.11771678931728598,0.11926119498702781,0.11328167961450342,0.11752880663575882,0.09983785131241664,0.12438375244115796,0.06290335700773608,0.10073825398005296,0.12554325251267795,0.13028219920896755,0.10778877518070598,0.13200701362344688,0.02064208530582412,0.09761150109976335,0.12256765783091148,1.773119792252724,-0.644318265134411,0.04961525786735628,0.1844134221793814
14,32,신갈나무,"(6753, 16935)",0.08082455189729532,0.0847361929833218,0.07660121414840648,0.08069896405335586,0.10616483063777744,0.13088416019995067,0.09091000781396452,0.10432254517687757,0.12998687753744376,0.12993671715223976,0.1076795605779141,0.13224503521280184,0.07252188319712716,0.10298489146040789,0.12907607367403753,-0.22259635626756205,-0.08296815086018001,0.005533351384951827,0.7675950713935096
15,33,굴참나무,"(5210, 13133)",0.1312892892911705,0.13450129288313661,0.12768588339828457,0.13117148359419117,0.09793194386602701,0.12170012123150203,0.12367265055145404,0.09982642180912091,0.12460587342844094,0.061953578605619564,0.10303775569968278,0.12782046849987574,0.14581075969980384,0.0985521606080678,0.1233070961027819,0.7343444432398589,-0.4113472291479666,0.03777764239597845,0.4826386290438691
16,34,기타참나무류,"(3523, 8426)",0.08646133442871222,0.0886794595556365,0.0832496415681434,0.08634287682166475,0.10194882807848019,0.12634039463012164,0.07091027575813924,0.10133859520250872,0.12577339212809036,0.011907575806534787,0.10505158366871038,0.12980882551949818,0.09538766946597954,0.09978821330440316,0.12404952562862044,0.647348714494495,-0.33756260613304667,0.031771355882895015,0.4122826692898606
17,35,오리나무,"(558, 1224)",0.06420503753610407,0.07587771459705284,0.05772703321181771,0.06242761183682988,0.10279740141297664,0.12858600640861448,0.02327147298591059,0.09475391965972409,0.11600955820220316,0,0.08535357184028057,0.10420962815643481,0.024396104960186182,0.09906883341291127,0.12104133294017519,1.8724248694537553,-0.6479174649493503,0.05043613171203772,0.13580516991830074
18,36,고로쇠나무,"(537, 1179)",0.05355774754704725,0.058451593416672054,0.03972114087850187,0.05269658072291972,0.10363388263727094,0.12860316774847994,0.03897019815884939,0.11130834109561732,0.13560988331864807,0,0.09609175921134898,0.1260456024245514,0.06214254983451217,0.11827186161892658,0.13976864321676302,-1.0976752721324083,0.19381196239499318,-0.016439644726169034,0.9407839383780312
19,37,자작나무,"(151, 319)",0.06438257578031421,0.07377520268563509,0.053038421935631685,0.054193308662553785,0.1034871777909361,0.12466742217553142,0,0.12132076346528167,0.15386953834397327,0,0.12294017215324257,0.15716227855466253,0,0.11367917871896617,0.1372703220439747,6.281457475307748,-1.746547085255198,0.12747115957374544,-1.1499785506775546
20,38,박달나무,"(577, 1328)",0.06532985654967631,0.07151632443763001,0.0498465481324506,0.06289556320890799,0.10263879723054237,0.1265737076416564,0.06780593508079402,0.10222325933879213,0.1299719011397328,0,0.11571913237494878,0.14470277199914025,0.10140416535352559,0.0963378410222727,0.12299669939934806,2.573777522304509,-0.7721818150628839,0.05294267910929589,-0.02951370194426589
21,39,밤나무,"(1913, 4005)",0.0718411062900152,0.07627657353188289,0.06746472716040841,0.0714748121796257,0.10297167017892352,0.1283340909084844,0.0567281177348411,0.10589144481057808,0.13096607027150886,0.11182829881037748,0.10154383926455132,0.12498785769963666,0.027605258816590594,0.10796742645880585,0.13372642502547877,2.296078875601938,-0.7542763822344004,0.069713839214432,-0.18261969756252588
22,40,물푸레나무,"(988, 2169)",0.03266712524329365,0.038491871824952284,0.028795519712494944,0.032088660986287376,0.1049752935277846,0.13010764081327797,0.033416621679172476,0.09896641874803135,0.12453755772964367,0.009823491814443308,0.10574461675853687,0.1327592098498028,0.04485142225019312,0.09587406113033528,0.1206006256326688,-0.479838026556306,0.03764339372828739,-0.004364577648532096,0.7678887094493361
23,41,서어나무,"(653, 1652)",0.10471912632576937,0.11193959625518546,0.0974860956444702,0.10385185420994336,0.10031794330899334,0.12410732048149888,0.06684167057200963,0.10484470322335708,0.12999285179731693,0,0.11585085989540167,0.13947233586243615,0.10136665077325635,0.10050894453436982,0.1260629457639208,0.7429506955204064,-0.31908227065577927,0.015189918302178772,0.5495285985023021
24,42,때죽나무,"(667, 1531)",0.055807634317881626,0.06538936843795917,0.041611733121105554,0.054730417351855576,0.10255867016803559,0.12760838999183718,0.047240222655542174,0.10981020626573135,0.13360698043386476,0,0.11736390083070894,0.14032718964533153,0.08505592705280307,0.10650237923400914,0.1305552821139725,0.2080063552299762,-0.20509100836822716,0.014111349196407713,0.6223622992267461
25,43,호두나무,"(257, 476)",0.021103257798926613,0.03671430984418145,0.010904618646218722,0.01108213673311087,0.10991910501403603,0.1333728557468708,0.0506410892618786,0.114074572871202,0.1345729349791232,0.022620040270599495,0.11424140130267871,0.13345627929008752,0.05351170396903426,0.11398420747081876,0.1351739386253453,0.27068591445559476,-0.16459060276558302,0.017007054202617514,0.47599296575724526
26,44,백합나무,"(48, 173)",0.11809209399351799,0.15755634877481528,0.07575802758449524,0.09783920529363699,0.11267103352504493,0.14160056868879933,0,0.1427651027532477,0.1664853023733704,0,0.15800663059891518,0.18054059355866792,0.12635783806724932,0.09973020060077496,0.11809085476175261,10.498926048272729,-3.0310119397876365,0.23289753971661983,-2.301505390238761
27,45,포플러,"(123, 219)",0.14102104618693748,0.17113815933693644,0.10734472296371877,0.13411074540249202,0.09810264493719383,0.11699587359589783,0.106311417214625,0.08637066071728505,0.11272197094972794,0.1537028129740935,0.08289521703351696,0.10917695682614854,0,0.10580155040380673,0.1307832044785707,4.749108757264644,-1.3847985931889382,0.1022217660518672,-0.6341798583781343
28,46,벚나무,"(1216, 2495)",0.0373609278979387,0.040960165225490175,0.03420105958592479,0.03652871165652671,0.10876504887265169,0.13316913159881136,0.021221623012612434,0.10617154563664347,0.13106202673117243,0.012184193643076768,0.11498417771576794,0.14146775406694234,0.026720907985913422,0.10187098118203075,0.12567159584818577,-0.12061599992152411,-0.069348064533042,0.00619421912919461,0.6192819377795687
29,47,느티나무,"(200, 399)",0.11455746050562418,0.12857737573744954,0.09603612972720255,0.1135281349838948,0.10418771692863174,0.1271891080571153,0.10984538862219084,0.10889111990450244,0.13211985354973313,0.15060020540948293,0.12139571635438626,0.14520823873422178,0.0768651739823848,0.10263882167956054,0.12506305311664598,1.8271137203585954,-0.6273120691963603,0.04221862867521539,0.2014014364646352
30,48,층층나무,"(659, 1476)",0.02881977198671677,0.032740433444796935,0.02282402927819016,0.027113364308842924,0.10254080786891878,0.12750147760423985,0.02349503962797439,0.10321911521269275,0.12904196269822324,0,0.11530979550348952,0.14072927493885565,0.04010783864971612,0.0978273253532834,0.12347390354772218,0.8925432874333621,-0.3226864365901152,0.033987263980051134,0.25663638153055884
31,49,아까시나무,"(1697, 3433)",0.02929444368198637,0.034170982969780606,0.024927567389564587,0.028461332255775185,0.10160265074031923,0.1266291383894478,0.028555483884550092,0.09186712748230742,0.11549973189252111,0.01984890580722609,0.0947383754588257,0.12199019537462523,0.03354689431520541,0.0904440599720797,0.11214374311380992,3.4465249728141085,-0.9847168244233957,0.06877492222260144,-0.2833938159687115
32,61,가시나무,"(88, 160)",0.11528389668717569,0.16830238157310096,0.0886585306085611,0.1029884610763242,0.11620067366831693,0.14302153386651376,0.09992570155121883,0.1123370726328138,0.143941141963108,0.06459653362436568,0.11572893469877527,0.14827516979348496,0.32323014796356786,0.0936818312700257,0.11727509282710522,3.002020879696806,-0.9988363426909214,0.08640815380060392,-0.2979891217888062
33,62,구실잣밤나무,"(14, 55)",0.35845839896833886,0.4174148865451657,0.27171510684790934,0.35162089231476634,0.09448512054383754,0.11853858020591278,0.1574245904352285,0.10846124995067241,0.13207222196212487,0.13820420587201887,0.11140766525650105,0.14055235119292367,0.14646221731239617,0.10158628090373899,0.10976637942939708,3.125926713171642,-1.0672884040711297,0.07106329223426394,0.054520278291158374
34,64,굴거리나무,"(25, 38)",0.1475571788443736,0.22037288851433245,0.047258184373926815,0.09855380796514512,0.1130366004222213,0.13688296331405447,0.2242161640585617,0.12216262931884726,0.14182597107954276,0.24649687834652734,0.11357508892399232,0.1335448669791511,0.016883411951269855,0.17583475678669072,0.18538324404798878,-4.674223939486881,1.4152831136909574,-0.15397529413549413,2.178864289377866
35,65,황칠나무,"(3, 6)",,,,,,,,,,,,,,,,,,,
