SID,n_total,n_test_plot,base_R2_plot,base_RMSE_plot,base_MAE_plot,base_Bias_plot,base_R2_tree,base_R2_delta,hyb_R2_plot,hyb_RMSE_plot,hyb_MAE_plot,hyb_Bias_plot,hyb_R2_tree,hyb_R2_delta
10,582,189.0,-0.0359,0.1437,0.1202,-0.023,-0.0563,-0.0204,0.031,0.1523,0.1278,-0.0222,0.1494,0.1184
11,44622,13349.0,0.123,0.1174,0.0939,0.0048,0.1253,0.0023,0.1657,0.1165,0.0925,0.0033,0.2088,0.0431
12,4836,1443.0,0.1407,0.1187,0.0944,-0.0049,0.0913,-0.0494,0.1972,0.1174,0.095,-0.0037,0.2431,0.0459
13,5572,1711.0,0.1281,0.1108,0.089,0.0028,0.1369,0.0088,0.1481,0.1167,0.0928,-0.0024,0.2149,0.0668
14,7680,2260.0,0.1531,0.1126,0.0907,0.0054,0.1507,-0.0024,0.1726,0.1156,0.0914,-0.0117,0.2462,0.0736
15,7384,2249.0,0.1515,0.1199,0.0963,0.0009,0.1561,0.0046,0.1954,0.1166,0.0935,0.0113,0.3157,0.1203
16,275,89.0,0.0227,0.123,0.0995,0.0239,0.0005,-0.0222,-0.2003,0.1521,0.1176,-0.0473,0.1613,0.3616
17,1363,363.0,0.1226,0.1314,0.1052,-0.0324,0.1756,0.053,0.2231,0.1151,0.0935,0.0037,0.2625,0.0394
18,795,233.0,0.0758,0.1187,0.0933,0.0126,0.1079,0.0321,0.175,0.1187,0.0951,-0.0308,0.2682,0.0932
21,37,6.0,-2.1781,0.1047,0.0916,-0.0916,0.0451,2.2232,-0.3654,0.199,0.1858,0.1375,0.3425,0.7079
30,21157,6319.0,0.0426,0.1314,0.1067,-0.0008,0.0345,-0.0081,0.0605,0.1296,0.1043,0.0025,0.1214,0.0609
31,6639,2033.0,0.1119,0.1236,0.0987,0.0071,0.1405,0.0286,0.1683,0.1226,0.0974,0.0065,0.2401,0.0718
32,23688,6946.0,0.0856,0.1297,0.1048,0.0005,0.0842,-0.0014,0.1499,0.126,0.1022,0.0015,0.1991,0.0492
33,18343,5288.0,0.1173,0.1222,0.0981,-0.0,0.128,0.0107,0.1691,0.1193,0.0961,0.0036,0.2378,0.0687
34,11949,3591.0,0.0896,0.1263,0.1021,-0.0042,0.0742,-0.0154,0.1072,0.1253,0.1014,0.0065,0.1912,0.084
35,1782,511.0,0.0302,0.136,0.1097,-0.0093,0.099,0.0688,0.0716,0.1327,0.1077,0.006,0.1821,0.1105
36,1716,511.0,0.0405,0.131,0.1054,-0.0137,0.0645,0.024,0.084,0.1334,0.1093,-0.0013,0.134,0.05
37,470,162.0,-0.1199,0.1335,0.1078,0.0164,-0.1076,0.0123,0.1615,0.1111,0.089,0.0152,0.1512,-0.0103
38,1905,570.0,0.0474,0.1331,0.1075,-0.0092,0.075,0.0276,0.1279,0.1232,0.0984,0.0088,0.1777,0.0498
39,5918,1790.0,0.0588,0.1317,0.1063,0.0018,0.0832,0.0244,0.1405,0.1232,0.0988,0.0061,0.142,0.0015
40,3157,874.0,0.0253,0.1259,0.1004,0.0133,0.0259,0.0006,0.0279,0.1314,0.105,-0.0105,0.0702,0.0423
41,2305,738.0,0.1117,0.1243,0.1011,-0.0083,0.0967,-0.015,0.1263,0.1218,0.0967,0.0119,0.1849,0.0586
42,2198,663.0,0.0387,0.1331,0.1066,-0.0016,0.049,0.0103,0.1076,0.1252,0.0998,0.019,0.1332,0.0256
43,733,226.0,0.0244,0.1277,0.1044,0.0007,0.0203,-0.0041,0.053,0.1415,0.1165,0.0145,0.0168,-0.0362
44,221,79.0,-0.5767,0.1788,0.1401,-0.1063,0.0647,0.6414,0.3533,0.1318,0.1161,0.0447,0.2247,-0.1286
45,342,128.0,0.0482,0.1195,0.0982,0.0085,-0.0404,-0.0886,0.0673,0.1177,0.0962,0.0025,0.2387,0.1714
46,3711,1110.0,0.0321,0.1349,0.1098,0.0074,0.0131,-0.019,0.0425,0.1287,0.1049,0.0099,0.1346,0.0921
47,599,169.0,0.1152,0.1308,0.1078,0.0007,0.0933,-0.0219,0.1421,0.1246,0.1007,-0.0079,0.1305,-0.0116
48,2135,650.0,0.0212,0.1298,0.1039,-0.0062,0.0174,-0.0038,0.0698,0.1275,0.102,-0.0057,0.1179,0.0481
49,5130,1575.0,0.0431,0.1219,0.0977,0.0042,0.0228,-0.0203,0.0216,0.1276,0.1019,0.0121,0.1509,0.1293
61,248,90.0,-0.0886,0.1434,0.1144,-0.0406,0.1883,0.2769,-0.471,0.1379,0.1144,-0.0726,0.2023,0.6733
62,69,28.0,0.4054,0.1271,0.105,-0.0139,0.0382,-0.3672,,,,,,
64,63,20.0,-0.192,0.1601,0.1381,-0.0278,0.0882,0.2802,0.0952,0.153,0.1358,-0.0225,0.2463,0.1511
66,130,31.0,-0.1428,0.1662,0.1244,0.0061,0.0121,0.1549,-0.4822,0.1334,0.0991,-0.0703,0.1323,0.6145
67,24,,,,,,,,-0.2125,0.1485,0.0986,0.0922,0.0719,0.2844
68,137,44.0,-0.0483,0.1205,0.106,-0.0192,-0.2334,-0.1851,-0.2288,0.1172,0.0973,-0.0184,-0.0008,0.228
