SID,SName,Par0,Par1,Par2,Par3
10,기타침엽수,-1.085265983,0.361980532,-0.042445683,0.937651688
11,소나무,-0.384779427,0.261744974,-0.030490717,0.47227214
12,잣나무,-2.079912526,0.731950959,-0.075610119,1.170487698
13,낙엽송,-1.297124686,0.524867129,-0.042112188,0.655266204
14,리기다소나무,1.369567398,-0.154464527,0.000431981,-0.049837359
15,곰솔,-0.192503507,0.234584504,-0.034646952,0.508803186
16,전나무,0.197966367,-0.159282527,0.017716764,0.502282119
17,편백나무,-2.704400462,0.990742142,-0.103253283,1.335608146
18,삼나무,0.106958875,0.147589513,-0.013583664,0.27647238
19,가문비나무,,,,
20,비자나무,,,,
21,은행나무,,,,
30,기타활엽수,-1.244693297,0.456280453,-0.040587369,0.788812881
31,상수리나무,-1.909531166,0.677334134,-0.052455481,0.86434865
32,신갈나무,0.313560478,0.059296197,-0.003859536,0.207863342
33,굴참나무,-0.580860493,0.372052447,-0.034900093,0.474259225
34,기타참나무류,-0.527950222,0.30168486,-0.027982872,0.543797879
35,오리나무,-2.014750536,0.669672558,-0.053940178,0.948911244
36,고로쇠나무,0.79950114,-0.11598574,0.008991863,0.167286243
37,자작나무,-5.606847077,1.587918771,-0.117584158,1.962023569
38,박달나무,-1.937355209,0.61928444,-0.043724383,0.865477324
39,밤나무,-2.159127019,0.714990685,-0.065700488,1.132761007
40,물푸레나무,0.015658181,0.083212887,-0.004100478,0.357593932
41,서어나무,-0.766270926,0.322441169,-0.014973798,0.462248166
42,때죽나무,-0.556592827,0.304103814,-0.023530145,0.492363379
43,호두나무,-1.234106257,0.391141206,-0.031355306,0.784252659
44,백합나무,-9.024743185,2.574652049,-0.198739791,2.937215003
45,포플러,-4.541256185,1.328221463,-0.09387349,1.510381525
46,벚나무,-0.591302143,0.270965262,-0.021401202,0.570183183
47,느티나무,-1.087800139,0.425211888,-0.024375474,0.553395457
48,층층나무,-1.207742241,0.410477282,-0.038197939,0.79652107
49,아까시나무,-2.673364337,0.783810763,-0.054701936,1.074722519
61,가시나무,-4.233193757,1.316743538,-0.114024215,1.710872104
62,구실잣밤나무,-4.274899069,1.383350344,-0.091261267,1.220946152
64,굴거리나무,7.781277437,-2.159243983,0.204141544,-2.103250562
65,황칠나무,,,,
66,사스레피나무,-3.248588508,1.238403157,-0.110146524,1.270114513
67,후박나무,,,,
68,새덕이,0.593753066,-0.034514093,0.000271801,0.232381673
