SID,XGB_RÂ²,XGB_MAE,XGB_RMSE,R©÷_,MAE,RMSE,
10,0.009561466,0.121665533,0.14689184,0.207550403,0.125322931,0.148709938,0.197988937
11,0.216125761,0.087555335,0.111313988,0.236672852,0.088195148,0.111295645,0.020547092
12,0.247467445,0.089109097,0.111877305,0.262571653,0.087976703,0.110815045,0.015104208
13,0.250807903,0.089805314,0.112388522,0.248378209,0.086063065,0.108417777,-0.002429695
14,0.237021543,0.085530218,0.109054692,0.219225413,0.086015174,0.10923129,-0.01779613
15,0.281496649,0.087967679,0.111979471,0.302546309,0.089696762,0.113355959,0.02104966
16,0.095529992,0.096901444,0.118507548,0.001943662,0.106317834,0.12133386,-0.093586331
17,0.408189688,0.089400265,0.111290771,0.363927305,0.091311975,0.115683544,-0.044262383
18,0.28524422,0.078899854,0.098834693,0.202282436,0.07987771,0.100775894,-0.082961784
30,0.119183946,0.100205041,0.124744224,0.13171478,0.098952276,0.123760354,0.012530834
31,0.243857394,0.089324014,0.111629393,0.253293059,0.093628758,0.118388795,0.009435665
32,0.186116906,0.09705819,0.121018661,0.21572056,0.098690828,0.122214089,0.029603654
33,0.250560501,0.091169188,0.113540985,0.270066449,0.088890871,0.111060785,0.019505948
34,0.199154121,0.098801137,0.122348943,0.203057473,0.094148398,0.117589736,0.003903352
35,0.088815001,0.101680128,0.125743044,0.11706805,0.099986747,0.124940175,0.028253049
36,0.138102034,0.107334759,0.131822129,0.108436021,0.09985671,0.125193942,-0.029666013
37,0.235160378,0.090547486,0.108725299,0.129417505,0.098831084,0.120996961,-0.105742873
38,0.199717047,0.097781222,0.12098571,0.058138091,0.09646191,0.118476844,-0.141578957
39,0.183821922,0.097540996,0.12171395,0.180767736,0.094853126,0.116457033,-0.003054186
40,0.080755951,0.096011127,0.121381209,0.063561922,0.103684438,0.129401668,-0.017194029
41,0.174442583,0.095147228,0.117938258,0.228882888,0.091991068,0.116452255,0.054440304
42,0.071077296,0.104478626,0.133670342,0.149997796,0.094470145,0.119994891,0.0789205
43,0.101959286,0.09939887,0.119817996,0.063966251,0.11171458,0.138840111,-0.037993035
44,0.394616264,0.085533797,0.112140968,0.46766328,0.070792149,0.09863748,0.073047016
45,0.29922743,0.085114102,0.107255418,-0.190710381,0.104448738,0.132115647,-0.489937812
46,0.109576489,0.100948926,0.127168228,0.11188027,0.1037632,0.126493832,0.002303781
47,0.040405571,0.106096904,0.126849341,0.115738697,0.092108324,0.116958397,0.075333127
48,0.125869379,0.097511088,0.121493423,0.1116447,0.094416603,0.119576437,-0.014224679
49,0.108487435,0.094029603,0.117143938,0.159143718,0.089118179,0.113190847,0.050656283
61,0.387673157,0.099866721,0.118026165,0.452629175,0.085465757,0.110881944,0.064956019
62,0.730568349,0.065934697,0.084598121,0.163638462,0.107039747,0.117217539,-0.566929887
64,0.209799306,0.149173848,0.190784747,0.52126396,0.0824965,0.099196152,0.311464654
66,0.295571035,0.053423598,0.066491524,-0.633862173,0.092297699,0.125151733,-0.929433208
68,-0.056767812,0.105901238,0.121852896,-0.212830467,0.120167258,0.139748947,-0.156062655
,,,,0.265414662,0.092846725,0.116481594,0.265414662
