,R©÷,MAE,RMSE
10,0.20755040342829212,0.12532293092873312,0.14870993778063443
11,0.2366728524768329,0.08819514782463934,0.11129564486521418
12,0.2625716533858976,0.08797670301682556,0.11081504487143733
13,0.24837820886529483,0.08606306484466304,0.1084177769088914
14,0.21922541316258592,0.08601517443081577,0.10923128979062602
15,0.30254630938988614,0.08969676243996844,0.1133559591051637
16,0.001943661523562401,0.1063178342414286,0.12133386002678065
17,0.3639273048146838,0.09131197541644794,0.1156835443031571
18,0.2022824363080048,0.07987771034690146,0.10077589429703913
30,0.1317147800034274,0.09895227572542031,0.12376035370020358
31,0.2532930587521215,0.0936287582618433,0.11838879469511909
32,0.21572056000932138,0.09869082828343684,0.12221408865149078
33,0.27006644878184805,0.08889087123774969,0.11106078527093072
34,0.2030574729894974,0.0941483980737692,0.11758973564707875
35,0.11706805028795575,0.09998674728420931,0.1249401753768768
36,0.10843602108384964,0.09985671024737863,0.12519394175107074
37,0.12941750501471694,0.09883108367583436,0.12099696102131789
38,0.05813809083637844,0.09646190957917018,0.11847684406866466
39,0.18076773570063243,0.0948531261902055,0.11645703326976374
40,0.06356192233178104,0.1036844380169693,0.1294016678683514
41,0.22888288761241526,0.09199106811051785,0.11645225528906898
42,0.14999779595276075,0.09447014460565896,0.11999489102924572
43,0.06396625080614149,0.11171457980612023,0.1388401107301212
44,0.467663280099771,0.07079214943410937,0.09863748009987756
45,-0.19071038138978258,0.10444873772402542,0.1321156466645243
46,0.11188027018449764,0.10376320038407769,0.12649383176018875
47,0.1157386970736809,0.09210832436328438,0.11695839659230146
48,0.11164469995576187,0.09441660348513027,0.11957643703364093
49,0.15914371753646916,0.08911817876020056,0.11319084715880166
61,0.45262917515150203,0.08546575680982349,0.11088194382605411
62,0.16363846190053233,0.10703974684680516,0.11721753937887931
64,0.5212639598271,0.08249650017199961,0.09919615186017264
66,-0.6338621731428868,0.09229769868796431,0.1251517327659381
68,-0.21283046745672318,0.12016725846387045,0.13974894744214897
XGBoost,0.2654146622126914,0.09284672510999933,0.11648159355552072
