SID,SName,Count,r2_tr,mae_tr,rmse_tr,r2_te,mae_te,rmse_te,Par0,Par1,Par2,Par3,Par4,Par5,Par6,Par7,Par8,Par9,Par10
11,소나무,31294,0.130685002,0.093473623,0.117441872,0.129128299,0.092455484,0.116196593,-1.349309101,0.150151805,0.578359151,-0.125244784,0.046681756,0.007752059,-0.001197251,-0.160082039,0.140921995,-0.021667333,-0.019959963
12,잣나무,3267,0.133326727,0.096566171,0.120545741,0.141401092,0.093354832,0.116118685,-1.840718159,-0.036386279,0.784424927,-0.145709394,-0.125947681,-0.013798587,0.001423764,-0.403947131,0.211896109,0.035150922,0.054198088
13,낙엽송,3895,0.143398843,0.094215781,0.118524663,0.142654197,0.091667441,0.114214535,-0.732870957,-0.543460389,0.844172103,-0.272344192,-0.02408424,0.004749162,-0.001026016,0.35876106,-0.2760866,0.005071745,0.040947723
14,리기다소나무,5295,0.146398854,0.094506744,0.117831917,0.146567564,0.095421913,0.118279798,-1.824187074,0.098903712,0.723738812,-0.171481876,0.083566594,0.014965903,-0.001150013,0.191040397,-0.122811535,-0.01901024,-0.047470079
15,곰솔,5280,0.175772569,0.096875857,0.121260077,0.173053761,0.097184681,0.121574533,-2.389073303,0.239571866,0.721427201,-0.117920377,0.047243198,0.015796545,-0.00160158,0.296732101,-0.005485549,0.061387124,-0.03814658
16,전나무,81,0.086019291,0.112151627,0.137280417,0.09371991,0.110744588,0.132430728,0.120355328,0.073148532,-0.115239508,0.051560465,-0.094990869,0.0565424,-0.001831208,-0.254601904,-0.431667428,0.139188834,0.091418349
17,편백나무,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,삼나무,595,0.194295828,0.084735779,0.106342737,0.186482251,0.085916715,0.106000835,-0.443966357,0.165011037,0.24379669,-0.122054146,0.180873477,-0.042103701,0.004319135,-0.297312292,-0.222193031,0.152122061,-0.010402926
19,가문비나무,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,비자나무,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,은행나무,34,0.64158449,0.058426802,0.072077708,0.790039876,0.056686802,0.071218932,0.024504276,0.213757718,0.185584996,-0.212944722,-0.020105766,-0.037966124,-0.047082413,-0.014893533,-0.010085413,0.188105441,0.10539127
10,기타침엽수,5432,0.152413052,0.100770867,0.126177692,0.197679443,0.098759334,0.123359599,-1.380977107,-0.560316309,0.975972904,-0.264688012,0.058653793,-0.00294376,0.001270628,0.228125417,-0.165319496,0.026435209,0.034665743
31,상수리나무,4602,0.09852089,0.098347108,0.123103198,0.129684509,0.101896525,0.125508574,-0.222381054,-0.30820074,0.435717263,-0.194304345,0.062349854,0.038888283,-0.003349994,0.046744965,-0.007659123,0.019419992,-0.008594485
32,신갈나무,16935,0.090141484,0.103346174,0.128136558,0.096234804,0.104592512,0.128640961,-0.678401662,0.158276881,0.227190813,-0.101694197,-0.026519337,0.056639819,-0.003288665,0.124624878,-0.061371681,0.00496452,0.004569753
33,굴참나무,13133,0.158348681,0.095730184,0.119086423,0.159711437,0.094548512,0.117637983,-1.23737054,-0.192639863,0.747887195,-0.237632056,0.013798796,0.042135404,-0.00220024,-0.080077558,0.1691632,0.014220104,-0.032110398
34,기타 참나무류,10739,0.104616625,0.099665194,0.123925173,0.093959336,0.10086261,0.124153618,-0.990433172,-0.016023121,0.446101642,-0.156046899,0.076907479,0.033469287,-0.001630015,-0.115580244,0.108785143,0.011828893,0.010273326
35,오리나무,44,0.188312488,0.069559444,0.09900197,0.250256917,0.098400403,0.122047231,0.018819729,0.121224523,0.121384271,-0.116062095,-0.126615443,0.118026059,-0.014053707,-0.02625101,0.046778314,0.079215665,-0.240552542
36,고로쇠나무,1179,0.074804901,0.100662005,0.124657654,0.050489584,0.101180203,0.125329159,-0.247625132,-0.079478302,0.28271316,-0.126018613,-0.203822429,0.049141054,-0.003034769,-0.113180279,0.064744322,0.020582021,-0.009255217
37,자작나무,240,0.062528634,0.104263607,0.125649434,0.031948451,0.116490961,0.140561138,-0.394371145,-0.246283282,0.410947843,-0.136914614,-0.378413215,0.03583989,-0.003712782,0.155405762,0.037419338,0.128039843,0.056432965
38,박달나무,904,0.100074157,0.097016764,0.122588707,0.093365487,0.102175646,0.126620755,-0.274030108,0.264738829,0.087488133,-0.062264992,-0.083638567,-0.012442148,0.001087127,0.083875364,-0.23111793,-0.085230058,0.058646735
39,밤나무,4005,0.055013952,0.10434646,0.130548246,0.049272285,0.100766091,0.125673057,-0.497362904,-0.586186271,0.604428475,-0.193491483,0.07767605,-0.010044451,0.000338656,0.407460736,-0.189294611,-0.01496472,0.015785479
40,물푸레나무,1995,0.043370317,0.102131165,0.127452369,0.020529569,0.105887393,0.129992255,-0.108673055,-0.026755747,0.129631036,-0.095006025,0.162815166,0.011314396,9.18E-05,0.00685292,-0.073745014,-0.039139508,0.018159659
41,서어나무,1029,0.168734439,0.099029442,0.122349012,0.12088796,0.098552888,0.123456492,0.283747188,0.143283253,-0.007062988,-0.127749713,-0.027970573,0.050705419,-0.004117059,0.157255592,-0.28466113,-0.017065887,-0.088387747
42,때죽나무,1033,0.061561293,0.103214612,0.127331921,0.124277144,0.098443557,0.121293753,-0.150399768,-0.019911265,0.180868857,-0.143406036,0.116903918,-0.005977017,0.000280265,0.253553483,-0.215715011,-0.033826553,0.08792314
43,호두나무,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,백합나무,173,0.152592945,0.105779376,0.132543714,0.180480856,0.108768149,0.141324767,-0.050606199,-0.592968323,0.310668688,-0.094201281,0.356220713,0.026187336,-0.006425346,0.175828085,0.180823982,-0.109887208,-0.004330645
45,포플러,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46, 벚나무,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,느티나무,399,0.14228534,0.100421405,0.123501475,0.012452123,0.102107294,0.127324628,0.22314837,0.103086168,-0.037938958,-0.110665694,0.063818686,0.107804131,-0.010612408,0.186901762,-0.157867937,-0.141910016,-0.03190008
48,층층나무,1404,0.042273812,0.09856892,0.123758587,0.038491499,0.102189787,0.126803808,-0.555391725,-0.175398124,0.449091472,-0.111475969,-0.057044834,-0.004074956,0.000560501,0.003060478,0.043499948,0.037700349,0.036023732
49,아까시나무,3433,0.037866541,0.097535246,0.121713265,0.034566909,0.098943856,0.122605311,0.028554598,-0.332887023,0.362206754,-0.158295907,0.192459313,0.025284461,-0.003710561,-0.279348554,0.247545903,0.013691201,-0.062333213
30,기타활엽수,18661,0.050736664,0.104410362,0.129509532,0.049630885,0.10199027,0.126779829,-0.994066549,-0.034623459,0.390273172,-0.108028735,0.060994463,0.018208563,-0.000860145,0.267126536,-0.187399128,0.006603999,0.02241605
