SID,SName,Count,r2_tr,mae_tr,rmse_tr,r2_te,mae_te,rmse_te,Par0,Par1,Par2,Par3,Par4,Par5,Par6,Par7,Par8,Par9,Par10
10,기타 침엽수,382,0.038712527,0.122919783,0.147776018,0.044793959,0.116042597,0.135865502,-0.693460894,0.255588918,-0.021282292,0.074608747,0.148061952,-0.063309757,0.006694835,-0.144301964,-0.027984245,0.026486156,-0.005116872
11,소나무,31294,0.130651752,0.092966768,0.116927114,0.130805687,0.09359021,0.117503679,-1.455800656,0.267162497,0.528198736,-0.103576644,0.029805235,0.008902915,-0.001329527,-0.154428824,0.134728419,-0.012771033,-0.017752374
12,잣나무,3323,0.138430227,0.095388672,0.118999536,0.14690692,0.095688558,0.119981479,-1.958894448,-0.090828891,0.860463282,-0.159438244,-0.174754337,-0.00385068,-0.00017857,-0.440683093,0.353650584,0.037577008,0.013794343
13,낙엽송,3895,0.149407179,0.093476098,0.11726948,0.11622682,0.094877693,0.119444364,-0.99813666,-0.444930783,0.852884466,-0.26293436,-0.040017097,-0.00108533,-0.000688729,0.337850272,-0.179202931,0.022561469,0.039848465
14,리기다소나무,5302,0.147156587,0.093847794,0.116696492,0.151060268,0.098312802,0.12257712,-1.887289639,0.208241139,0.676008435,-0.157003008,0.114205942,0.018534726,-0.001143924,0.102627378,-0.151713049,0.003645576,-0.036137619
15,곰솔,5280,0.181277596,0.09698129,0.121357383,0.150001023,0.096918261,0.121254616,-2.408936076,0.365422531,0.660483238,-0.101787426,0.05413372,0.003741935,-0.000592288,0.133528237,0.169510042,0.045020698,-0.021085503
16,전나무,200,0.108308103,0.104666629,0.128813752,0.221055512,0.073578332,0.091850134,-0.200506168,-0.010519123,-0.127820136,0.020585114,-0.176890667,0.224125324,-0.011621498,-0.135669704,-0.161115747,0.065181473,0.058364315
17,편백나무,971,0.217390623,0.10571681,0.129528332,0.178015946,0.110020481,0.136869872,-1.792098651,-0.535078614,1.077664135,-0.26156863,0.069938703,-0.118673258,0.019282237,0.037350874,0.455375521,0.104814128,-0.018582268
18,삼나무,597,0.199999285,0.08569466,0.106318852,0.159064279,0.082166994,0.104734517,-0.335961671,0.040626815,0.261354559,-0.134795683,0.323218889,-0.050686274,0.004508406,-0.195342753,-0.31288877,0.208865324,-0.034599339
19,가문비나무,2,,,,,,,-0.693460894,0.255588918,-0.021282292,0.074608747,0.148061952,-0.063309757,0.006694835,-0.144301964,-0.027984245,0.026486156,-0.005116872
20,비자나무,3,,,,,,,-0.693460894,0.255588918,-0.021282292,0.074608747,0.148061952,-0.063309757,0.006694835,-0.144301964,-0.027984245,0.026486156,-0.005116872
21,은행나무,34,0.71657237,0.055154505,0.070497309,0.421945526,0.068043231,0.073582544,0.076065269,0.195672566,0.155755277,-0.180513776,0.02692823,0.036643798,-0.069714857,0.065074761,0.01924203,0.166695935,0.167310757
30,기타 활엽수,16745,0.050303835,0.104696819,0.129532459,0.056562003,0.101933683,0.127110811,-0.940991824,-0.043122862,0.387469601,-0.112462537,0.056856383,0.022998693,-0.001406253,0.207509542,-0.153641064,-0.00265812,0.035897499
31,상수리나무,4602,0.104673541,0.099766529,0.124517035,0.121225271,0.09743151,0.121152669,-0.134133931,-0.473298106,0.531496218,-0.228617458,0.070551951,0.029046037,-0.004001824,0.260233362,-0.20057409,0.017954908,-0.001593103
32,신갈나무,16935,0.092242165,0.103589598,0.128163194,0.092392847,0.104042553,0.128742994,-0.561759683,0.06853661,0.275845099,-0.122271757,-0.013765442,0.051668979,-0.003073387,-0.006068297,0.061114894,-0.005931055,-0.007842639
33,굴참나무,13133,0.162129449,0.09524093,0.118439245,0.144360015,0.095923972,0.119528099,-1.267795418,-0.179686491,0.746429946,-0.234122505,-0.025320184,0.051923708,-0.002813299,-0.086982474,0.175268181,0.012216248,-0.046855683
34,기타참나무류,8426,0.111246096,0.099507516,0.123844116,0.098949908,0.099250884,0.12278449,-1.127117566,-0.090268271,0.494380584,-0.169303182,0.109885537,0.046430358,-0.002342308,0.203869876,-0.160821072,0.006646474,0.004263847
35,오리나무,1224,0.070385699,0.101535165,0.126579155,0.043208262,0.097763286,0.122430834,-0.322100539,-0.274579758,0.47453774,-0.177197137,0.034674323,-0.001147004,0.000910657,-0.191470079,0.185149015,0.026596829,0.000923845
36,고로쇠나무,1179,0.066025391,0.100323744,0.125026816,0.018039804,0.104979866,0.127300696,-0.057957903,0.004055433,0.152873741,-0.100438866,-0.117757365,-0.001567356,0.001616713,-0.003450379,0.038023135,0.009036875,-0.017949747
37,자작나무,319,0.04951238,0.102032321,0.12347606,0.051886263,0.103153871,0.129655543,-0.207095798,-0.35157525,0.448999111,-0.157419358,-0.409811902,0.022390831,-0.000948183,0.307857913,-0.180825516,0.027546817,0.100758101
38,박달나무,1328,0.061108413,0.099481786,0.124551802,0.097978779,0.100133024,0.124232856,0.116089446,-0.130170627,0.140159742,-0.103457305,0.11989053,0.025036882,-0.001527674,0.37511369,-0.49081295,-0.016363243,0.047927478
39,밤나무,4005,0.054180673,0.103628368,0.129384419,0.05981743,0.102181331,0.127346439,-0.333654877,-0.618388132,0.589495619,-0.196364688,0.012226567,0.014484261,-0.001835035,0.430905368,-0.366719323,-0.00263748,-0.022147103
40,물푸레나무,2169,0.035823283,0.101555975,0.126034881,0.030218963,0.108460096,0.135617118,-0.392273027,-0.070647843,0.259354591,-0.1028553,-0.016595456,0.047346278,-0.002351152,-0.138024178,0.041473281,0.015783768,0.014022271
41,서어나무,1652,0.14347813,0.095342712,0.119527593,0.050568483,0.106526703,0.129897058,0.305624517,0.155423187,-0.078393408,-0.099096953,0.068292053,0.037326946,-0.002255053,0.032587148,-0.004424669,-0.004011231,-0.03568397
42,때죽나무,1531,0.066251782,0.102671067,0.127257754,0.018925509,0.100425411,0.125785473,0.04669722,-0.093430695,0.225336665,-0.172515116,-0.014254802,0.003785391,-8.24E-05,0.275293107,-0.227822347,0.020374619,0.065665524
43,호두나무,476,0.037971958,0.103554022,0.126129167,0.025474388,0.102499071,0.125653511,-0.169482009,-0.05860142,0.083885736,-0.0404735,-0.143681023,0.13259362,-0.009775824,0.139519878,-0.218399194,0.065003407,0.18697391
44,백합나무,173,0.219973502,0.100864011,0.127603865,0.17746402,0.11337842,0.142391105,0.034912989,-0.650537153,0.367265765,-0.179861415,0.664013619,0.019444311,-0.009250407,0.1045201,0.193456013,-0.078949176,-0.096099346
45,포플러,219,0.122557113,0.096292909,0.118097053,0.083880399,0.092299483,0.113540549,-0.163779587,-0.292983059,0.439099653,-0.185739391,0.142396435,0.053969237,-0.009255305,-0.041917664,0.099932893,-0.094231301,0.222443687
46, 벚나무,134,0.180645794,0.102661415,0.121245321,0.033007343,0.112307087,0.142856899,-0.13301732,-0.151236045,0.200310681,-0.102693773,-0.487144583,0.160835893,-0.01123064,0.01286172,0.133329171,0.17225798,-0.213533911
47,느티나무,399,0.1205323,0.104877049,0.128000507,0.072058969,0.082682777,0.106056135,0.090125161,-0.008150804,0.055711635,-0.130047998,0.275009691,0.0340482,-0.00451717,0.089405546,0.030462809,-0.008140035,-0.011227385
48,층층나무,1476,0.044761225,0.100089528,0.124757602,0.042641013,0.099304547,0.124251929,-0.566580164,-0.126236409,0.388512994,-0.112600865,0.086610344,-0.009324768,0.00113111,0.089240045,-0.012661983,0.014554342,0.024238849
49,아까시나무,3433,0.045067008,0.09752571,0.121312221,0.019617284,0.099992883,0.123594552,0.292189031,-0.334307079,0.282992762,-0.154547734,0.186079579,0.010692643,-0.001468478,-0.228066495,0.293708586,0.014641353,-0.016742869
61,가시나무,160,0.266827614,0.103050681,0.125894284,0.051381452,0.127984345,0.155832188,-0.302858079,-0.078879568,0.376624992,-0.135906542,-0.3093325,-0.176234954,0.023392072,-0.100085954,-0.110295418,0.412957133,-0.015157715
62,구실잣밤나무,55,0.242235488,0.089886523,0.117321174,0.359614162,0.117591049,0.140776946,0.124742075,0.214609321,0.20027125,-0.17155248,-0.142212348,-0.221305166,0.026737741,0.045505684,0.039677172,-0.191056688,0.056708813
64,굴거리나무,38,0.186187841,0.114807695,0.138066254,0.146074273,0.118741258,0.126627312,0.106357237,0.233500072,-0.079485937,-0.108380812,0.10264698,-0.002960472,0.001033405,0.187571486,0.100647172,-0.126838259,-0.410601747
65,황칠나무,6,,,,,,,-0.940991824,-0.043122862,0.387469601,-0.112462537,0.056856383,0.022998693,-0.001406253,0.207509542,-0.153641064,-0.00265812,0.035897499
66,사스피레나무,83,0.104448428,0.096685987,0.126504614,0.028997412,0.083710593,0.101714811,0.035583812,0.082874506,0.00055187,-0.135144858,-0.307955362,0.067943902,-0.000832572,0.1881328,0.009174118,0.396610806,-0.083906631
67,후박나무,19,,,,,,,-0.940991824,-0.043122862,0.387469601,-0.112462537,0.056856383,0.022998693,-0.001406253,0.207509542,-0.153641064,-0.00265812,0.035897499
68,새덕이,85,0.072027318,0.086540629,0.104490021,0.039726533,0.125171774,0.145896818,0.000989144,0.051615091,-0.092755194,-0.008316661,0.193471916,-0.009345048,0.003706433,-0.181258155,-0.129238753,-0.138692663,-0.129390454
