,SID,SName,Count,CV_Mean,CV_Best,CV_Worst,R2_Train,MAE_Train,RMSE_Train,R2_Test_All,MAE_Test_All,RMSE_Test_All,R2_Test_NFI6,MAE_Test_NFI6,RMSE_Test_NFI6,R2_Test_NFI7,MAE_Test_NFI7,RMSE_Test_NFI7,Par0,Par1,Par2,Par3,Par4,Par5,Par6,Par7,Par8,Par9,Par10
0,10,기타침엽수,"(200, 382)",0.043070151,0.053470179,0.036446329,0.040382798,0.124625011,0.149757188,0.116850242,0.120207304,0.143531959,0.05075853,0.114609929,0.136761344,0.120134244,0.123153291,0.146970212,-0.279191733,0.162790939,-0.100146257,0.05315876,0.187071935,-0.001811976,0.001159764,-0.222184405,-0.135109477,0.009414668,-0.040159693
1,11,소나무,"(13328, 31294)",0.124864039,0.126858476,0.122882597,0.124881606,0.093282303,0.117259193,0.135370842,0.092731778,0.116588734,0.129951027,0.092086387,0.115798095,0.132987124,0.093006724,0.116923934,-1.450981674,0.175715844,0.553908839,-0.11318816,0.028341653,0.00672285,-0.00049338,0.085710441,-0.043223116,-0.005559322,-0.013886338
2,12,잣나무,"(1513, 3323)",0.113541086,0.116356566,0.111599918,0.113524809,0.097462311,0.12159346,0.076550781,0.098926964,0.124566185,0.08049144,0.104182212,0.12822109,0.072381343,0.096536776,0.1228679,-1.24493386,-0.303536527,0.76453172,-0.170975807,-0.104809579,-0.01123726,0.000718326,-0.307825818,0.198378327,0.007410678,0.007641349
3,13,낙엽송,"(1677, 3895)",0.129407824,0.134092602,0.122401209,0.128713991,0.094980031,0.119169415,0.129361513,0.094821677,0.118417639,0.042806548,0.09844882,0.122672851,0.145928108,0.093259215,0.116536753,-0.540522934,-0.390524923,0.634882249,-0.218404109,0.076584238,0.013456568,-0.001956229,0.169828888,-0.052153211,0.000213395,0.038636973
4,14,리기다소나무,"(2378, 5302)",0.146175643,0.148667051,0.142822045,0.145966848,0.09416898,0.117396851,0.150525207,0.087092982,0.110082331,0.149817761,0.086546587,0.109869366,0.146739786,0.087338344,0.11017783,-1.256394443,-0.088625149,0.699832165,-0.193591669,0.064738007,0.012192469,0.000228446,0.003743421,-0.018079722,-0.006966943,-0.046706644
5,15,곰솔,"(2104, 5280)",0.15684891,0.160456324,0.153890124,0.156080302,0.09778157,0.121810713,0.165990572,0.096061949,0.120124141,0.078259047,0.09370018,0.117373415,0.19125924,0.097001288,0.121200829,-1.613240288,-0.017151432,0.686424416,-0.147599693,0.060389364,0.00845322,-0.001064136,0.084695061,0.145364615,0.023407616,-0.009193114
6,16,전나무,"(75, 201)",0.141991181,0.173533849,0.11409316,0.131283824,0.100601303,0.124431083,0.114290691,0.096539283,0.120824772,0.130074086,0.100625108,0.123703974,0,0.081217441,0.109354686,-0.070622743,-0.085206847,-0.069974971,0.000865856,-0.089249012,0.139920743,-0.006268033,-0.111590909,-0.124530266,0.12232326,0.031274439
7,17,편백나무,"(392, 971)",0.140228481,0.15661315,0.133912517,0.139115647,0.107411709,0.133586704,0.091707356,0.112782673,0.136315097,0,0.111300759,0.139021982,0.138074161,0.113378495,0.135211488,-0.966017796,-0.34750797,0.640279156,-0.165591911,0.063511733,-0.10175101,0.014709781,0.154314196,0.329186919,0.02503725,-0.029743715
8,18,삼나무,"(198, 597)",0.165145387,0.173122965,0.157360326,0.162426228,0.090988141,0.11338562,0.22511822,0.085067432,0.099313428,0.151559318,0.082609786,0.098452421,0.213476429,0.085886648,0.099598776,-0.086127839,0.070120797,0.120664683,-0.10300975,0.259130821,0.014002212,-0.000238617,-0.272243318,-0.208514348,0.166367533,0.075268502
9,19,가문비나무,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
