,SID,I_Species,R2,RMSE,MAE
0,10,기타침엽수,0.06434547334497098,0.021050301923590916,0.11110160093437793
1,11,소나무,0.2664976065229313,0.01147187686016696,0.08441658714521556
2,12,잣나무,0.240087626304194,0.013404315097843752,0.09142382967628611
3,13,낙엽송,0.30961750373879404,0.011138932531191881,0.08378270762373206
4,14,리기다소나무,0.3164205118765089,0.01068957403738343,0.0803185418512235
5,15,곰솔,0.36717582349457445,0.011360482608954777,0.08393784386239227
6,16,전나무,0.11002013019442225,0.014736440247978171,0.10071584425550434
7,17,편백나무,0.4559314471773477,0.011439840560665802,0.08515865944705739
8,18,삼나무,0.2940868560891937,0.010445649680335008,0.08306236589564348
9,30,기타활엽수,0.14772136604568553,0.015517245958279347,0.09949129626231915
10,31,상수리나무,0.293526957428243,0.012723465841488894,0.08806762347891453
11,32,신갈나무,0.22907569927032145,0.014141676372244684,0.09535358410620247
12,33,굴참나무,0.2908761696651124,0.012012707321286427,0.08833684014116737
13,34,기타참나무류,0.231388077595022,0.013354864908314399,0.09255234824921274
14,35,오리나무,0.30369901929614995,0.012031507293326136,0.08844438368449721
15,36,고로쇠나무,0.26533092891758037,0.011214621730801655,0.08440457532018979
16,37,자작나무,0.2663182090858809,0.011051667912527539,0.08385341676672459
17,38,박달나무,0.16735135770307608,0.014673409945310014,0.09780482820781916
18,39,밤나무,0.20908079995000806,0.013432216895969462,0.09184016209505738
19,40,물푸레나무,0.17788524270976547,0.014418926368037951,0.09748963495052859
20,41,서어나무,0.21538587636288242,0.013652181038290892,0.09364363838504051
21,42,때죽나무,0.11127177244997832,0.013700939834912274,0.09467360775862936
22,43,호두나무,0.1377837407188165,0.016499943116554037,0.10679602487204841
23,44,백합나무,0.49608465313652617,0.014224216303629779,0.09506187755667292
24,45,포플러,0.09569882625786452,0.011572734719505817,0.08593781738682056
25,46,벚나무,0.15053710326975,0.016283475665196515,0.10246818265224646
26,47,느티나무,0.27338108119388627,0.014418343466670147,0.09678236258955197
27,48,층층나무,0.18649695230923913,0.014741791330077128,0.09601641455099538
28,49,아까시나무,0.20406068421311496,0.013289013961752763,0.09046825441693845
29,61,가시나무,0.17300780409471062,0.017806728347224205,0.11120294470418317
30,62,구실잣밤나무,-0.030960742090489823,0.015436342614809752,0.10354871398176989
31,64,굴거리나무,0.40908818280145054,0.013558481862144398,0.09904166237504063
32,66,사스레피나무,0.031733245619250616,0.016130418944532602,0.10448326197973036
33,68,새덕이,0.028887169621528597,0.018819440697803294,0.11401282094503344
